cohort	sample1	sample2	sample1_tfx	sample2_tfx	tfx_diff	sample1_ploidy	sample2_ploidy	ploidy_diff
europdx_wgs_brca	BC336_P1_WGS	BC336_P5_WGS	1.0	0.9853	0.015	3.026	2.962	0.064
europdx_wgs_brca	BC343_PT_WGS	BC343_P1_WGS	0.3212	1.0	0.679	2.994	2.995	0.001
europdx_wgs_brca	BC343_P1_WGS	BC343_P5_WGS	1.0	1.0	0.0	2.995	2.962	0.033
europdx_wgs_brca	BC408_PT_WGS	BC408_P0_WGS	0.4492	1.0	0.551	2.896	2.484	0.412
europdx_wgs_brca	BC408_P0_WGS	BC408_P6_WGS	1.0	1.0	0.0	2.484	2.117	0.367
europdx_wgs_brca	BC426_PT_WGS	BC426_P1_WGS	0.702	0.9904	0.288	2.02	2.063	0.043
europdx_wgs_brca	BC426_P1_WGS	BC426_P5_WGS	0.9904	1.0	0.01	2.063	2.041	0.022
europdx_wgs_brca	BC430_PT_WGS	BC430_P0_WGS	0.5468	0.9927	0.446	1.966	1.993	0.027
europdx_wgs_brca	BC430_P0_WGS	BC430_P5_WGS	0.9927	0.8263	0.166	1.993	2.019	0.026
europdx_wgs_brca	BC453_PT_WGS	BC453_P1_WGS	0.66	1.0	0.34	1.961	1.96	0.001
europdx_wgs_brca	BC453_P1_WGS	BC453_P4_WGS	1.0	0.9978	0.002	1.96	1.954	0.006
europdx_wgs_brca	BC457_PT_WGS	BC457_P1_WGS	0.9471	1.0	0.053	2.153	2.06	0.093
europdx_wgs_brca	BC457_P1_WGS	BC457_P5_WGS	1.0	0.9907	0.009	2.06	2.489	0.429
europdx_wgs_brca	BC464_PT_WGS	BC464_P1_WGS	0.7726	1.0	0.227	3.023	2.908	0.115
europdx_wgs_brca	BC464_P1_WGS	BC464_P9_WGS	1.0	1.0	0.0	2.908	2.854	0.054
europdx_wgs_brca	BC474_PT_WGS	BC474_P0_WGS	0.1847	0.9844	0.8	2.793	2.95	0.157
europdx_wgs_brca	BC474_P0_WGS	BC474_P7_WGS	0.9844	1.0	0.016	2.95	2.906	0.044
europdx_wgs_brca	BC509_PT_WGS	BC509_P1_WGS	0.4015	1.0	0.599	1.968	1.972	0.004
europdx_wgs_brca	BC509_P1_WGS	BC509_P5_WGS	1.0	1.0	0.0	1.972	1.625	0.347
europdx_wgs_brca	BC513_PT_WGS	BC513_P1_WGS	0.3891	0.9836	0.595	1.988	1.939	0.049
europdx_wgs_brca	BC513_P1_WGS	BC513_P7_WGS	0.9836	0.965	0.019	1.939	1.813	0.126
europdx_wgs_brca	BC519_PT_WGS	BC519_P1_WGS	0.6079	0.9519	0.344	1.997	1.833	0.164
europdx_wgs_brca	BC519_P1_WGS	BC519_P5_WGS	0.9519	1.0	0.048	1.833	2.081	0.248
europdx_wgs_brca	BC531_PT_WGS	BC531_P1_WGS	0.4779	0.9656	0.488	2.806	3.048	0.242
europdx_wgs_brca	BC531_P1_WGS	BC531_P5_WGS	0.9656	0.9955	0.03	3.048	2.993	0.055
europdx_wgs_brca	BC666_PT_WGS	BC666_P1_WGS	0.1311	0.9841	0.853	2.52	3.007	0.487
europdx_wgs_brca	BC666_P1_WGS	BC666_P5_WGS	0.9841	1.0	0.016	3.007	3.016	0.009
europdx_wgs_brca	BC701_PT_WGS	BC701_P1_WGS	0.3709	0.9908	0.62	2.927	2.617	0.31
europdx_wgs_brca	BC701_P1_WGS	BC701_P5_WGS	0.9908	0.9741	0.017	2.617	2.593	0.024
europdx_wgs_brca	BC715_PT_WGS	BC715_P1_WGS	0.5459	1.0	0.454	3.033	3.023	0.01
europdx_wgs_brca	BC715_P1_WGS	BC715_P5_WGS	1.0	1.0	0.0	3.023	2.965	0.058
europdx_wgs_brca	BC794_PT_WGS	BC794_P1_WGS	0.5647	1.0	0.435	1.997	1.979	0.018
europdx_wgs_brca	BC794_P1_WGS	BC794_P5_WGS	1.0	0.9976	0.002	1.979	1.96	0.019
europdx_wgs_brca	BC801_PT_WGS	BC801_P1_WGS	0.2454	0.9937	0.748	2.126	2.054	0.072
europdx_wgs_brca	BC801_P1_WGS	BC801_P5_WGS	0.9937	0.8802	0.114	2.054	2.349	0.295
europdx_wgs_brca	BC878_PT_WGS	BC878_P0_WGS	0.4569	1.0	0.543	2.314	2.019	0.295
europdx_wgs_brca	BC878_P0_WGS	BC878_P5_WGS	1.0	1.0	0.0	2.019	2.025	0.006
europdx_wgs_brca	BC899_PT_WGS	BC899_P1_WGS	0.4652	0.9956	0.53	2.981	2.822	0.159
europdx_wgs_brca	BC899_P1_WGS	BC899_P5_WGS	0.9956	1.0	0.004	2.822	2.56	0.262
europdx_wgs_brca	BC989_PT_WGS	BC989_P1_WGS	0.7603	1.0	0.24	2.037	2.012	0.025
europdx_wgs_brca	BC989_P1_WGS	BC989_P5_WGS	1.0	0.9865	0.013	2.012	2.035	0.023
europdx_wgs_brca	BC1006_PT_WGS	BC1006_P1_WGS	0.3749	0.9911	0.616	2.974	2.077	0.897
europdx_wgs_brca	BC1006_P1_WGS	BC1006_P5_WGS	0.9911	0.9851	0.006	2.077	2.075	0.002
europdx_wgs_brca	BC126_PT_WGS	BC126_P5_WGS	0.7494	1.0	0.251	1.999	1.999	0.0
europdx_wgs_brca	BC127_PT_WGS	BC127_P5_WGS	0.1231	1.0	0.877	2.95	2.276	0.674
europdx_wgs_brca	BC162_PT_WGS	BC162_P5_WGS	0.4	0.9973	0.597	1.821	1.941	0.12
europdx_wgs_brca	BC201_PT_WGS	BC201_P5_WGS	0.5138	0.9944	0.481	2.894	3.013	0.119
europdx_wgs_brca	BC227_PT_WGS	BC227_P6_WGS	0.6768	0.9983	0.322	2.117	2.005	0.112
europdx_wgs_brca	BC230_PT_WGS	BC230_P6_WGS	0.7448	0.996	0.251	1.943	1.948	0.005
europdx_wgs_brca	BC239_PT_WGS	BC239_P5_WGS	0.5817	1.0	0.418	2.003	2.0	0.003
europdx_wgs_brca	BC241_PT_WGS	BC241_P5_WGS	0.347	1.0	0.653	2.761	3.066	0.305
europdx_wgs_brca	BC250_PT_WGS	BC250_P4_WGS	0.6866	0.9865	0.3	2.988	2.962	0.026
europdx_wgs_brca	BC256_PT_WGS	BC256_P5_WGS	0.9307	1.0	0.069	2.836	3.046	0.21
europdx_wgs_brca	BC274_PT_WGS	BC274_P5_WGS	0.8084	1.0	0.192	1.98	1.968	0.012
europdx_wgs_brca	BC283_PT_WGS	BC283_P5_WGS	0.124	1.0	0.876	2.905	2.958	0.053
europdx_wgs_brca	BC288_PT_WGS	BC288_P5_WGS	0.6188	1.0	0.381	2.905	2.83	0.075
europdx_wgs_brca	BC291_PT_WGS	BC291_P5_WGS	0.6277	1.0	0.372	2.775	3.098	0.323
europdx_wgs_brca	BC291A_PT_WGS	BC291A_P7_WGS	0.2813	0.9008	0.62	3.231	2.574	0.657
europdx_wgs_brca	BC297_PT_WGS	BC297_P6_WGS	0.1605	1.0	0.84	2.778	3.016	0.238
europdx_wgs_brca	BC302_PT_WGS	BC302_P5_WGS	0.2908	1.0	0.709	2.327	2.031	0.296
europdx_wgs_brca	BC325_PT_WGS	BC325_P5_WGS	0.9356	1.0	0.064	1.993	2.004	0.011
europdx_wgs_brca	BC326_PT_WGS	BC326_P7_WGS	0.885	1.0	0.115	2.842	2.86	0.018
europdx_wgs_brca	BC332_PT_WGS	BC332_P5_WGS	0.9709	0.9986	0.028	2.002	1.986	0.016
europdx_wgs_brca	BC336_PT_WGS	BC336_P5_WGS	0.2079	0.9853	0.777	3.03	2.962	0.068
europdx_wgs_brca	BC343_PT_WGS	BC343_P5_WGS	0.3212	1.0	0.679	2.994	2.962	0.032
europdx_wgs_brca	BC408_PT_WGS	BC408_P6_WGS	0.4492	1.0	0.551	2.896	2.117	0.779
europdx_wgs_brca	BC426_PT_WGS	BC426_P5_WGS	0.702	1.0	0.298	2.02	2.041	0.021
europdx_wgs_brca	BC430_PT_WGS	BC430_P5_WGS	0.5468	0.8263	0.28	1.966	2.019	0.053
europdx_wgs_brca	BC453_PT_WGS	BC453_P4_WGS	0.66	0.9978	0.338	1.961	1.954	0.007
europdx_wgs_brca	BC457_PT_WGS	BC457_P5_WGS	0.9471	0.9907	0.044	2.153	2.489	0.336
europdx_wgs_brca	BC464_PT_WGS	BC464_P9_WGS	0.7726	1.0	0.227	3.023	2.854	0.169
europdx_wgs_brca	BC474_PT_WGS	BC474_P7_WGS	0.1847	1.0	0.815	2.793	2.906	0.113
europdx_wgs_brca	BC509_PT_WGS	BC509_P5_WGS	0.4015	1.0	0.599	1.968	1.625	0.343
europdx_wgs_brca	BC513_PT_WGS	BC513_P7_WGS	0.3891	0.965	0.576	1.988	1.813	0.175
europdx_wgs_brca	BC519_PT_WGS	BC519_P5_WGS	0.6079	1.0	0.392	1.997	2.081	0.084
europdx_wgs_brca	BC531_PT_WGS	BC531_P5_WGS	0.4779	0.9955	0.518	2.806	2.993	0.187
europdx_wgs_brca	BC666_PT_WGS	BC666_P5_WGS	0.1311	1.0	0.869	2.52	3.016	0.496
europdx_wgs_brca	BC701_PT_WGS	BC701_P5_WGS	0.3709	0.9741	0.603	2.927	2.593	0.334
europdx_wgs_brca	BC715_PT_WGS	BC715_P5_WGS	0.5459	1.0	0.454	3.033	2.965	0.068
europdx_wgs_brca	BC794_PT_WGS	BC794_P5_WGS	0.5647	0.9976	0.433	1.997	1.96	0.037
europdx_wgs_brca	BC801_PT_WGS	BC801_P5_WGS	0.2454	0.8802	0.635	2.126	2.349	0.223
europdx_wgs_brca	BC878_PT_WGS	BC878_P5_WGS	0.4569	1.0	0.543	2.314	2.025	0.289
europdx_wgs_brca	BC899_PT_WGS	BC899_P5_WGS	0.4652	1.0	0.535	2.981	2.56	0.421
europdx_wgs_brca	BC989_PT_WGS	BC989_P5_WGS	0.7603	0.9865	0.226	2.037	2.035	0.002
europdx_wgs_brca	BC1006_PT_WGS	BC1006_P5_WGS	0.3749	0.9851	0.61	2.974	2.075	0.899
europdx_wgs_crc	CRC1_PT_WGS	CRC1_P0_WGS	0.3582	0.9338	0.576	2.978	2.946	0.032
europdx_wgs_crc	CRC1_P0_WGS	CRC1_P3_WGS	0.9338	0.94	0.006	2.946	2.968	0.022
europdx_wgs_crc	CRC2_PT_WGS	CRC2_P1_WGS	0.4583	0.9949	0.537	2.004	2.004	0.0
europdx_wgs_crc	CRC2_P1_WGS	CRC2_P6_WGS	0.9949	1.0	0.005	2.004	2.002	0.002
europdx_wgs_crc	CRC3_PT_WGS	CRC3_P1_WGS	0.2956	0.9848	0.689	1.983	1.953	0.03
europdx_wgs_crc	CRC3_P1_WGS	CRC3_P5_WGS	0.9848	0.9898	0.005	1.953	1.995	0.042
europdx_wgs_crc	CRC4_P1_WGS	CRC4_P6_WGS	1.0	0.9931	0.007	2.001	2.0	0.001
europdx_wgs_crc	CRC5_PT_WGS	CRC5_P1_WGS	0.4334	1.0	0.567	1.982	1.998	0.016
europdx_wgs_crc	CRC5_P1_WGS	CRC5_P5_WGS	1.0	1.0	0.0	1.998	1.973	0.025
europdx_wgs_crc	CRC7_PT_WGS	CRC7_P1_WGS	0.4523	0.9897	0.537	2.974	2.993	0.019
europdx_wgs_crc	CRC7_P1_WGS	CRC7_P6_WGS	0.9897	0.983	0.007	2.993	3.0	0.007
europdx_wgs_crc	CRC8_PT_WGS	CRC8_P1_WGS	0.5474	0.9743	0.427	2.797	2.866	0.069
europdx_wgs_crc	CRC8_P1_WGS	CRC8_P6_WGS	0.9743	0.9956	0.021	2.866	2.819	0.047
europdx_wgs_crc	CRC9_PT_WGS	CRC9_P1_WGS	0.71	0.8758	0.166	1.954	1.912	0.042
europdx_wgs_crc	CRC9_P1_WGS	CRC9_P4_WGS	0.8758	1.0	0.124	1.912	2.064	0.152
europdx_wgs_crc	CRC10_PT_WGS	CRC10_P0_WGS	0.5848	0.9779	0.393	2.888	2.798	0.09
europdx_wgs_crc	CRC10_P0_WGS	CRC10_P3_WGS	0.9779	1.0	0.022	2.798	3.017	0.219
europdx_wgs_crc	CRC13_PT_WGS	CRC13_P1_WGS	0.3875	0.9627	0.575	2.584	3.037	0.453
europdx_wgs_crc	CRC13_P1_WGS	CRC13_P4_WGS	0.9627	0.9885	0.026	3.037	3.05	0.013
europdx_wgs_crc	CRC14_PT_WGS	CRC14_P1_WGS	0.6745	1.0	0.326	2.008	2.002	0.006
europdx_wgs_crc	CRC14_P1_WGS	CRC14_P6_WGS	1.0	1.0	0.0	2.002	1.686	0.316
europdx_wgs_crc	CRC15_PT_WGS	CRC15_P1_WGS	0.6866	0.9412	0.255	3.046	3.028	0.018
europdx_wgs_crc	CRC15_P1_WGS	CRC15_P4_WGS	0.9412	0.9722	0.031	3.028	2.998	0.03
europdx_wgs_crc	CRC16_PT_WGS	CRC16_P1_WGS	0.1567	0.986	0.829	2.995	2.96	0.035
europdx_wgs_crc	CRC16_P1_WGS	CRC16_P6_WGS	0.986	1.0	0.014	2.96	2.813	0.147
europdx_wgs_crc	CRC17_PT_WGS	CRC17_P1_WGS	0.6363	0.9721	0.336	1.927	1.879	0.048
europdx_wgs_crc	CRC17_P1_WGS	CRC17_P6_WGS	0.9721	0.9704	0.002	1.879	1.921	0.042
europdx_wgs_crc	CRC18_P1_WGS	CRC18_P6_WGS	0.9915	0.9681	0.023	3.0	3.006	0.006
europdx_wgs_crc	CRC20_PT_WGS	CRC20_P1_WGS	0.7564	0.9897	0.233	1.999	2.003	0.004
europdx_wgs_crc	CRC20_P1_WGS	CRC20_P5_WGS	0.9897	1.0	0.01	2.003	1.998	0.005
europdx_wgs_crc	CRC21_PT_WGS	CRC21_P1_WGS	0.6811	0.9679	0.287	2.29	2.145	0.145
europdx_wgs_crc	CRC21_P1_WGS	CRC21_P6_WGS	0.9679	0.9723	0.004	2.145	2.026	0.119
europdx_wgs_crc	CRC22_PT_WGS	CRC22_P1_WGS	0.2916	0.9869	0.695	2.011	2.007	0.004
europdx_wgs_crc	CRC22_P1_WGS	CRC22_P5_WGS	0.9869	0.9935	0.007	2.007	2.008	0.001
europdx_wgs_crc	CRC23_PT_WGS	CRC23_P1_WGS	0.1667	0.9783	0.812	2.958	2.934	0.024
europdx_wgs_crc	CRC23_P1_WGS	CRC23_P6_WGS	0.9783	0.9915	0.013	2.934	2.974	0.04
europdx_wgs_crc	CRC24_PT_WGS	CRC24_P1_WGS	0.1045	0.923	0.819	3.333	2.828	0.505
europdx_wgs_crc	CRC24_P1_WGS	CRC24_P6_WGS	0.923	1.0	0.077	2.828	2.809	0.019
europdx_wgs_crc	CRC25_PT_WGS	CRC25_P1_WGS	0.422	1.0	0.578	1.985	1.996	0.011
europdx_wgs_crc	CRC25_P1_WGS	CRC25_P6_WGS	1.0	1.0	0.0	1.996	1.888	0.108
europdx_wgs_crc	CRC27_PT_WGS	CRC27_P1_WGS	0.2351	0.9914	0.756	2.69	3.029	0.339
europdx_wgs_crc	CRC27_P1_WGS	CRC27_P6_WGS	0.9914	0.9564	0.035	3.029	3.097	0.068
europdx_wgs_crc	CRC28_PT_WGS	CRC28_P1_WGS	0.6375	0.9959	0.358	1.999	2.0	0.001
europdx_wgs_crc	CRC28_P1_WGS	CRC28_P6_WGS	0.9959	1.0	0.004	2.0	2.002	0.002
europdx_wgs_crc	CRC29_PT_WGS	CRC29_P1_WGS	0.5179	0.9431	0.425	2.937	2.93	0.007
europdx_wgs_crc	CRC29_P1_WGS	CRC29_P5_WGS	0.9431	0.9986	0.055	2.93	2.976	0.046
europdx_wgs_crc	CRC30_PT_WGS	CRC30_P1_WGS	0.552	0.9806	0.429	1.982	1.886	0.096
europdx_wgs_crc	CRC30_P1_WGS	CRC30_P4_WGS	0.9806	0.9952	0.015	1.886	1.976	0.09
europdx_wgs_crc	CRC32_PT_WGS	CRC32_P1_WGS	0.7149	0.9936	0.279	2.986	2.988	0.002
europdx_wgs_crc	CRC32_P1_WGS	CRC32_P6_WGS	0.9936	1.0	0.006	2.988	2.952	0.036
europdx_wgs_crc	CRC33_PT_WGS	CRC33_P1_WGS	0.8909	0.9661	0.075	2.002	2.003	0.001
europdx_wgs_crc	CRC33_P1_WGS	CRC33_P5_WGS	0.9661	1.0	0.034	2.003	2.001	0.002
europdx_wgs_crc	CRC34_PT_WGS	CRC34_P0_WGS	0.4739	0.955	0.481	2.856	3.336	0.48
europdx_wgs_crc	CRC34_P0_WGS	CRC34_P3_WGS	0.955	0.982	0.027	3.336	3.18	0.156
europdx_wgs_crc	CRC36_PT_WGS	CRC36_P0_WGS	0.1586	0.9646	0.806	2.9	2.998	0.098
europdx_wgs_crc	CRC36_P0_WGS	CRC36_P2_WGS	0.9646	0.9824	0.018	2.998	2.991	0.007
europdx_wgs_crc	CRC37_PT_WGS	CRC37_P1_WGS	0.7665	0.9816	0.215	2.912	2.928	0.016
europdx_wgs_crc	CRC37_P1_WGS	CRC37_P5_WGS	0.9816	0.9929	0.011	2.928	2.934	0.006
europdx_wgs_crc	CRC38_PT_WGS	CRC38_P1_WGS	0.3084	0.9913	0.683	3.24	3.017	0.223
europdx_wgs_crc	CRC38_P1_WGS	CRC38_P6_WGS	0.9913	0.9814	0.01	3.017	3.011	0.006
europdx_wgs_crc	CRC39_PT_WGS	CRC39_P1_WGS	0.4119	0.6852	0.273	2.987	2.87	0.117
europdx_wgs_crc	CRC39_P1_WGS	CRC39_P6_WGS	0.6852	0.699	0.014	2.87	2.84	0.03
europdx_wgs_crc	CRC40_PT_WGS	CRC40_P0_WGS	0.5923	1.0	0.408	2.008	2.001	0.007
europdx_wgs_crc	CRC40_P0_WGS	CRC40_P2_WGS	1.0	0.9997	0.0	2.001	2.005	0.004
europdx_wgs_crc	CRC41_PT_WGS	CRC41_P1_WGS	0.5147	0.9992	0.484	3.033	3.017	0.016
europdx_wgs_crc	CRC41_P1_WGS	CRC41_P4_WGS	0.9992	0.9849	0.014	3.017	3.02	0.003
europdx_wgs_crc	CRC42_PT_WGS	CRC42_P1_WGS	0.2205	1.0	0.779	2.009	2.002	0.007
europdx_wgs_crc	CRC43_PT_WGS	CRC43_P1_WGS	0.2948	0.8888	0.594	2.038	1.803	0.235
europdx_wgs_crc	CRC43_P1_WGS	CRC43_P5_WGS	0.8888	0.9241	0.035	1.803	1.744	0.059
europdx_wgs_crc	CRC44_PT_WGS	CRC44_P1_WGS	0.555	1.0	0.445	1.988	1.999	0.011
europdx_wgs_crc	CRC44_P1_WGS	CRC44_P6_WGS	1.0	0.9958	0.004	1.999	2.001	0.002
europdx_wgs_crc	CRC46_PT_WGS	CRC46_P1_WGS	0.6819	0.9853	0.303	2.984	2.902	0.082
europdx_wgs_crc	CRC46_P1_WGS	CRC46_P6_WGS	0.9853	0.9894	0.004	2.902	2.973	0.071
europdx_wgs_crc	CRC47_PT_WGS	CRC47_P1_WGS	0.8535	0.9844	0.131	2.992	2.977	0.015
europdx_wgs_crc	CRC47_P1_WGS	CRC47_P5_WGS	0.9844	0.9929	0.008	2.977	2.778	0.199
europdx_wgs_crc	CRC48_PT_WGS	CRC48_P1_WGS	0.7792	0.9618	0.183	2.021	2.005	0.016
europdx_wgs_crc	CRC48_P1_WGS	CRC48_P6_WGS	0.9618	0.9062	0.056	2.005	2.037	0.032
europdx_wgs_crc	CRC49_PT_WGS	CRC49_P1_WGS	0.265	0.9409	0.676	3.169	2.986	0.183
europdx_wgs_crc	CRC49_P1_WGS	CRC49_P5_WGS	0.9409	0.9663	0.025	2.986	3.034	0.048
europdx_wgs_crc	CRC50_PT_WGS	CRC50_P0_WGS	0.9555	0.6612	0.294	3.015	2.934	0.081
europdx_wgs_crc	CRC50_P0_WGS	CRC50_P2_WGS	0.6612	0.9837	0.323	2.934	3.043	0.109
europdx_wgs_crc	CRC51_PT_WGS	CRC51_P1_WGS	0.8453	0.9761	0.131	2.978	2.994	0.016
europdx_wgs_crc	CRC51_P1_WGS	CRC51_P4_WGS	0.9761	0.9572	0.019	2.994	2.952	0.042
europdx_wgs_crc	CRC52_PT_WGS	CRC52_P1_WGS	0.6166	1.0	0.383	2.779	2.962	0.183
europdx_wgs_crc	CRC52_P1_WGS	CRC52_P6_WGS	1.0	0.992	0.008	2.962	2.84	0.122
europdx_wgs_crc	CRC53_PT_WGS	CRC53_P1_WGS	0.2122	0.9858	0.774	1.98	2.003	0.023
europdx_wgs_crc	CRC53_P1_WGS	CRC53_P6_WGS	0.9858	0.9905	0.005	2.003	2.006	0.003
europdx_wgs_crc	CRC55_P1_WGS	CRC55_P5_WGS	0.7047	0.9911	0.286	2.866	3.395	0.529
